Id,Generation [z],color
0,0,#FF0000
1,0,#FF0000
2,0,#FF0000
3,0,#FF0000
4,0,#FF0000
5,0,#1E00F1
6,0,#1E00F1
7,0,#1E00F1
8,0,#1E00F1
9,0,#1E00F1
10,1,#FF0000
11,1,#1E00F1
12,1,#FF0000
13,1,#1E00F1
14,1,#1E00F1
15,1,#FF0000
16,1,#FF0000
17,1,#FF0000
18,1,#1E00F1
19,1,#1E00F1
20,2,#FF0000
21,2,#1E00F1
22,2,#1E00F1
23,2,#1E00F1
24,2,#1E00F1
25,2,#1E00F1
26,2,#FF0000
27,2,#FF0000
28,2,#1E00F1
29,2,#FF0000
30,3,#1E00F1
31,3,#FF0000
32,3,#FF0000
33,3,#1E00F1
34,3,#FF0000
35,3,#1E00F1
36,3,#1E00F1
37,3,#FF0000
38,3,#1E00F1
39,3,#1E00F1
40,4,#FF0000
41,4,#FF0000
42,4,#1E00F1
43,4,#1E00F1
44,4,#1E00F1
45,4,#FF0000
46,4,#1E00F1
47,4,#FF0000
48,4,#1E00F1
49,4,#1E00F1
50,5,#FF0000
51,5,#1E00F1
52,5,#FF0000
53,5,#FF0000
54,5,#FF0000
55,5,#FF0000
56,5,#1E00F1
57,5,#1E00F1
58,5,#1E00F1
59,5,#1E00F1
60,6,#1E00F1
61,6,#FF0000
62,6,#1E00F1
63,6,#FF0000
64,6,#FF0000
65,6,#FF0000
66,6,#1E00F1
67,6,#1E00F1
68,6,#1E00F1
69,6,#FF0000
70,7,#1E00F1
71,7,#FF0000
72,7,#FF0000
73,7,#1E00F1
74,7,#FF0000
75,7,#1E00F1
76,7,#FF0000
77,7,#1E00F1
78,7,#FF0000
79,7,#FF0000
80,8,#FF0000
81,8,#1E00F1
82,8,#FF0000
83,8,#1E00F1
84,8,#1E00F1
85,8,#1E00F1
86,8,#1E00F1
87,8,#1E00F1
88,8,#1E00F1
89,8,#1E00F1
90,9,#1E00F1
91,9,#1E00F1
92,9,#1E00F1
93,9,#FF0000
94,9,#1E00F1
95,9,#FF0000
96,9,#1E00F1
97,9,#1E00F1
98,9,#1E00F1
99,9,#1E00F1
100,10,#1E00F1
101,10,#FF0000
102,10,#1E00F1
103,10,#1E00F1
104,10,#1E00F1
105,10,#FF0000
106,10,#FF0000
107,10,#FF0000
108,10,#1E00F1
109,10,#1E00F1
110,11,#1E00F1
111,11,#1E00F1
112,11,#FF0000
113,11,#1E00F1
114,11,#1E00F1
115,11,#1E00F1
116,11,#1E00F1
117,11,#FF0000
118,11,#1E00F1
119,11,#1E00F1
120,12,#1E00F1
121,12,#1E00F1
122,12,#FF0000
123,12,#FF0000
124,12,#FF0000
125,12,#FF0000
126,12,#1E00F1
127,12,#1E00F1
128,12,#1E00F1
129,12,#1E00F1
130,13,#1E00F1
131,13,#FF0000
132,13,#FF0000
133,13,#1E00F1
134,13,#FF0000
135,13,#FF0000
136,13,#1E00F1
137,13,#FF0000
138,13,#FF0000
139,13,#FF0000
140,14,#FF0000
141,14,#FF0000
142,14,#FF0000
143,14,#FF0000
144,14,#FF0000
145,14,#FF0000
146,14,#FF0000
147,14,#FF0000
148,14,#1E00F1
149,14,#1E00F1
150,15,#FF0000
151,15,#FF0000
152,15,#FF0000
153,15,#FF0000
154,15,#FF0000
155,15,#1E00F1
156,15,#FF0000
157,15,#1E00F1
158,15,#1E00F1
159,15,#FF0000
160,16,#1E00F1
161,16,#FF0000
162,16,#FF0000
163,16,#FF0000
164,16,#FF0000
165,16,#FF0000
166,16,#FF0000
167,16,#FF0000
168,16,#FF0000
169,16,#1E00F1
170,17,#FF0000
171,17,#FF0000
172,17,#1E00F1
173,17,#FF0000
174,17,#FF0000
175,17,#1E00F1
176,17,#FF0000
177,17,#FF0000
178,17,#FF0000
179,17,#FF0000
180,18,#FF0000
181,18,#FF0000
182,18,#FF0000
183,18,#FF0000
184,18,#1E00F1
185,18,#FF0000
186,18,#FF0000
187,18,#FF0000
188,18,#FF0000
189,18,#FF0000
190,19,#FF0000
191,19,#FF0000
192,19,#FF0000
193,19,#FF0000
194,19,#FF0000
195,19,#1E00F1
196,19,#FF0000
197,19,#FF0000
198,19,#FF0000
199,19,#FF0000
